id,topic,question_type,age_group,content_length,difficulty
edu_qa_0187,safety_community,explanatory,4-6,15,beginner
edu_qa_0188,general_knowledge,general,4-6,1,beginner
edu_qa_0189,health_body,factual,4-6,7,beginner
edu_qa_0190,health_body,explanatory,4-6,19,beginner
edu_qa_0191,math_numbers,explanatory,4-6,23,intermediate
edu_qa_0192,safety_community,explanatory,4-6,20,intermediate
edu_qa_0193,general_knowledge,explanatory,4-6,16,beginner
edu_qa_0194,nature_science,explanatory,4-6,17,beginner
edu_qa_0195,nutrition_cooking,factual,3-4,9,beginner
edu_qa_0196,health_body,instructional,4-6,16,beginner
edu_qa_0197,health_body,explanatory,6-8,26,intermediate
edu_qa_0198,social_emotional,factual,4-6,14,beginner
edu_qa_0199,arts_creativity,factual,4-6,2,beginner
edu_qa_0200,safety_community,factual,4-6,16,beginner
edu_qa_0201,math_numbers,factual,4-6,15,beginner
edu_qa_0202,general_knowledge,factual,4-6,12,beginner
edu_qa_0203,social_emotional,explanatory,4-6,22,intermediate
edu_qa_0204,nutrition_cooking,explanatory,5-7,25,intermediate
edu_qa_0205,math_numbers,factual,4-6,21,intermediate
edu_qa_0206,arts_creativity,explanatory,4-6,15,beginner
edu_qa_0207,nutrition_cooking,explanatory,4-6,23,intermediate
edu_qa_0208,physical_activity,instructional,4-6,9,beginner
edu_qa_0209,nutrition_cooking,general,3-4,6,beginner
edu_qa_0210,language_literacy,factual,4-6,12,beginner
edu_qa_0211,language_literacy,factual,4-6,14,beginner
edu_qa_0212,arts_creativity,instructional,4-6,15,beginner
edu_qa_0213,social_emotional,factual,4-6,14,beginner
edu_qa_0214,social_emotional,explanatory,4-6,17,beginner
edu_qa_0215,nutrition_cooking,explanatory,4-6,20,intermediate
edu_qa_0216,nutrition_cooking,instructional,4-6,11,beginner
edu_qa_0217,social_emotional,general,4-6,11,beginner
edu_qa_0218,nutrition_cooking,explanatory,4-6,22,intermediate
edu_qa_0219,safety_community,factual,4-6,17,beginner
edu_qa_0220,general_knowledge,explanatory,4-6,23,intermediate
edu_qa_0221,arts_creativity,general,4-6,17,beginner
edu_qa_0222,nutrition_cooking,general,4-6,14,beginner
edu_qa_0223,social_emotional,factual,4-6,1,beginner
edu_qa_0224,nutrition_cooking,factual,4-6,24,intermediate
edu_qa_0225,nutrition_cooking,factual,4-6,22,intermediate
edu_qa_0226,general_knowledge,general,4-6,3,beginner
edu_qa_0227,nutrition_cooking,recall,4-6,8,beginner
edu_qa_0228,nutrition_cooking,factual,4-6,8,beginner
edu_qa_0229,nutrition_cooking,instructional,4-6,11,beginner
edu_qa_0230,arts_creativity,general,4-6,2,beginner
edu_qa_0231,math_numbers,instructional,4-6,16,beginner
edu_qa_0232,health_body,explanatory,6-8,40,intermediate
edu_qa_0233,nature_science,explanatory,4-6,22,intermediate
edu_qa_0234,social_emotional,instructional,4-6,18,beginner
edu_qa_0235,arts_creativity,instructional,4-6,11,beginner
edu_qa_0236,nutrition_cooking,instructional,3-4,12,beginner
edu_qa_0237,nutrition_cooking,factual,4-6,17,beginner
edu_qa_0238,general_knowledge,explanatory,4-6,7,beginner
edu_qa_0239,general_knowledge,explanatory,4-6,22,intermediate
edu_qa_0240,health_body,explanatory,4-6,17,beginner
edu_qa_0241,math_numbers,factual,4-6,11,beginner
edu_qa_0242,general_knowledge,factual,4-6,1,beginner
edu_qa_0243,nutrition_cooking,factual,4-6,9,beginner
edu_qa_0244,safety_community,factual,4-6,12,beginner
edu_qa_0245,safety_community,factual,4-6,16,beginner
edu_qa_0246,math_numbers,instructional,4-6,8,beginner
edu_qa_0247,physical_activity,factual,4-6,9,beginner
edu_qa_0248,general_knowledge,factual,4-6,21,intermediate
edu_qa_0249,math_numbers,instructional,4-6,21,intermediate
edu_qa_0250,general_knowledge,explanatory,4-6,9,beginner
edu_qa_0251,nutrition_cooking,explanatory,4-6,24,intermediate
edu_qa_0252,safety_community,factual,3-4,9,beginner
edu_qa_0253,social_emotional,explanatory,4-6,8,beginner
edu_qa_0254,nutrition_cooking,instructional,4-6,19,beginner
edu_qa_0255,nutrition_cooking,instructional,4-6,14,beginner
edu_qa_0256,safety_community,factual,4-6,12,beginner
edu_qa_0257,general_knowledge,explanatory,4-6,21,intermediate
edu_qa_0258,social_emotional,instructional,4-6,21,intermediate
edu_qa_0259,general_knowledge,factual,4-6,13,beginner
edu_qa_0260,general_knowledge,factual,4-6,2,beginner
edu_qa_0261,nutrition_cooking,general,3-4,12,beginner
edu_qa_0262,math_numbers,factual,3-4,1,beginner
edu_qa_0263,safety_community,factual,4-6,7,beginner
edu_qa_0264,physical_activity,instructional,3-4,7,beginner
edu_qa_0265,safety_community,explanatory,4-6,16,beginner
edu_qa_0266,social_emotional,factual,3-4,12,beginner
edu_qa_0267,general_knowledge,factual,4-6,2,beginner
edu_qa_0268,nutrition_cooking,explanatory,6-8,26,intermediate
edu_qa_0269,language_literacy,factual,4-6,10,beginner
edu_qa_0270,nutrition_cooking,factual,4-6,17,beginner
edu_qa_0271,general_knowledge,explanatory,4-6,21,intermediate
edu_qa_0272,general_knowledge,explanatory,4-6,23,intermediate
edu_qa_0273,arts_creativity,factual,4-6,2,beginner
edu_qa_0274,nature_science,instructional,4-6,19,beginner
edu_qa_0275,general_knowledge,explanatory,4-6,22,intermediate
edu_qa_0276,nature_science,explanatory,4-6,20,intermediate
edu_qa_0277,general_knowledge,factual,4-6,1,beginner
edu_qa_0278,arts_creativity,factual,4-6,10,beginner
edu_qa_0279,general_knowledge,explanatory,4-6,22,intermediate
edu_qa_0280,social_emotional,explanatory,4-6,4,beginner
edu_qa_0281,language_literacy,factual,4-6,20,intermediate
edu_qa_0282,nutrition_cooking,explanatory,4-6,19,beginner
edu_qa_0283,general_knowledge,factual,4-6,7,beginner
edu_qa_0284,general_knowledge,explanatory,4-6,17,beginner
edu_qa_0285,health_body,instructional,3-4,8,beginner
edu_qa_0286,nutrition_cooking,factual,5-7,26,intermediate
edu_qa_0287,nature_science,factual,5-7,30,intermediate
edu_qa_0288,language_literacy,instructional,3-4,14,beginner
edu_qa_0289,general_knowledge,factual,4-6,23,intermediate
edu_qa_0290,language_literacy,instructional,4-6,14,beginner
edu_qa_0291,health_body,general,4-6,15,beginner
edu_qa_0292,nutrition_cooking,explanatory,4-6,12,beginner
edu_qa_0293,nutrition_cooking,factual,3-4,14,beginner
edu_qa_0294,health_body,explanatory,4-6,22,intermediate
edu_qa_0295,arts_creativity,instructional,4-6,11,beginner
edu_qa_0296,nutrition_cooking,general,3-4,10,beginner
edu_qa_0297,general_knowledge,factual,3-4,14,beginner
edu_qa_0298,general_knowledge,factual,3-4,13,beginner
edu_qa_0299,physical_activity,factual,4-6,12,beginner
edu_qa_0300,safety_community,explanatory,4-6,6,beginner
edu_qa_0301,social_emotional,factual,4-6,11,beginner
edu_qa_0302,safety_community,factual,4-6,20,intermediate
edu_qa_0303,nutrition_cooking,explanatory,4-6,23,intermediate
edu_qa_0304,social_emotional,explanatory,4-6,12,beginner
edu_qa_0305,general_knowledge,instructional,3-4,10,beginner
edu_qa_0306,arts_creativity,general,4-6,18,beginner
edu_qa_0307,health_body,factual,4-6,10,beginner
edu_qa_0308,general_knowledge,explanatory,4-6,17,beginner
edu_qa_0309,general_knowledge,general,4-6,22,intermediate
edu_qa_0310,general_knowledge,factual,4-6,2,beginner
edu_qa_0311,nutrition_cooking,general,4-6,16,beginner
edu_qa_0312,language_literacy,explanatory,4-6,10,beginner
edu_qa_0313,math_numbers,general,4-6,16,beginner
edu_qa_0314,safety_community,explanatory,4-6,20,intermediate
edu_qa_0315,safety_community,instructional,3-4,11,beginner
edu_qa_0316,nutrition_cooking,factual,4-6,19,beginner
edu_qa_0317,general_knowledge,explanatory,4-6,18,beginner
edu_qa_0318,general_knowledge,explanatory,4-6,3,beginner
edu_qa_0319,general_knowledge,explanatory,5-7,27,intermediate
edu_qa_0320,arts_creativity,instructional,3-4,5,beginner
edu_qa_0321,health_body,instructional,4-6,9,beginner
edu_qa_0322,physical_activity,explanatory,4-6,20,intermediate
edu_qa_0323,nutrition_cooking,explanatory,4-6,19,beginner
edu_qa_0324,language_literacy,explanatory,6-8,27,intermediate
edu_qa_0325,nutrition_cooking,explanatory,4-6,13,beginner
edu_qa_0326,nutrition_cooking,factual,4-6,10,beginner
edu_qa_0327,nutrition_cooking,factual,4-6,11,beginner
edu_qa_0328,math_numbers,factual,4-6,12,beginner
edu_qa_0329,general_knowledge,factual,3-4,4,beginner
edu_qa_0330,social_emotional,explanatory,4-6,15,beginner
edu_qa_0331,general_knowledge,factual,3-4,8,beginner
edu_qa_0332,nutrition_cooking,instructional,4-6,18,beginner
edu_qa_0333,health_body,general,4-6,20,intermediate
edu_qa_0334,nutrition_cooking,factual,4-6,1,beginner
edu_qa_0335,general_knowledge,factual,4-6,24,intermediate
edu_qa_0336,nutrition_cooking,factual,4-6,13,beginner
edu_qa_0337,arts_creativity,factual,4-6,6,beginner
edu_qa_0338,nutrition_cooking,factual,4-6,16,beginner
edu_qa_0339,math_numbers,explanatory,4-6,22,intermediate
edu_qa_0340,nutrition_cooking,instructional,5-7,32,intermediate
edu_qa_0341,social_emotional,explanatory,4-6,17,beginner
edu_qa_0342,social_emotional,factual,4-6,17,beginner
edu_qa_0343,nature_science,explanatory,4-6,16,beginner
edu_qa_0344,math_numbers,factual,4-6,12,beginner
edu_qa_0345,general_knowledge,explanatory,4-6,7,beginner
edu_qa_0346,language_literacy,explanatory,4-6,17,beginner
edu_qa_0347,nature_science,instructional,4-6,10,beginner
edu_qa_0348,general_knowledge,general,4-6,11,beginner
edu_qa_0349,general_knowledge,explanatory,4-6,17,beginner
edu_qa_0350,math_numbers,instructional,3-4,2,beginner
edu_qa_0351,nutrition_cooking,factual,4-6,5,beginner
edu_qa_0352,arts_creativity,instructional,4-6,11,beginner
edu_qa_0353,math_numbers,factual,4-6,11,beginner
edu_qa_0354,general_knowledge,general,4-6,7,beginner
edu_qa_0355,physical_activity,instructional,3-4,11,beginner
edu_qa_0356,language_literacy,general,3-4,10,beginner
edu_qa_0357,math_numbers,factual,4-6,6,beginner
edu_qa_0358,general_knowledge,explanatory,4-6,18,beginner
edu_qa_0359,arts_creativity,instructional,4-6,4,beginner
edu_qa_0360,math_numbers,factual,4-6,11,beginner
edu_qa_0361,language_literacy,factual,3-4,8,beginner
edu_qa_0362,general_knowledge,instructional,4-6,16,beginner
edu_qa_0363,general_knowledge,general,3-4,13,beginner
edu_qa_0364,general_knowledge,factual,4-6,4,beginner
edu_qa_0365,math_numbers,factual,4-6,18,beginner
edu_qa_0366,arts_creativity,instructional,4-6,6,beginner
edu_qa_0367,arts_creativity,factual,4-6,8,beginner
edu_qa_0368,safety_community,general,4-6,20,intermediate
edu_qa_0369,social_emotional,explanatory,4-6,22,intermediate
edu_qa_0370,nutrition_cooking,explanatory,4-6,18,beginner
edu_qa_0371,arts_creativity,factual,4-6,4,beginner
edu_qa_0372,social_emotional,instructional,3-4,14,beginner
edu_qa_0373,physical_activity,factual,4-6,21,intermediate
edu_qa_0374,general_knowledge,instructional,3-4,13,beginner
edu_qa_0375,nutrition_cooking,recall,4-6,8,beginner
edu_qa_0376,general_knowledge,explanatory,4-6,19,beginner
edu_qa_0377,language_literacy,factual,4-6,15,beginner
edu_qa_0378,nutrition_cooking,factual,4-6,23,intermediate
edu_qa_0379,physical_activity,instructional,4-6,18,beginner
edu_qa_0380,general_knowledge,factual,4-6,17,beginner
edu_qa_0381,nutrition_cooking,explanatory,4-6,14,beginner
edu_qa_0382,nutrition_cooking,factual,3-4,12,beginner
edu_qa_0383,health_body,instructional,4-6,16,beginner
edu_qa_0384,nutrition_cooking,factual,4-6,12,beginner
edu_qa_0385,general_knowledge,factual,4-6,2,beginner
edu_qa_0386,general_knowledge,explanatory,6-8,25,intermediate
edu_qa_0387,safety_community,factual,4-6,24,intermediate
edu_qa_0388,nutrition_cooking,explanatory,4-6,19,beginner
edu_qa_0389,general_knowledge,explanatory,4-6,13,beginner
edu_qa_0390,general_knowledge,factual,3-4,10,beginner
edu_qa_0391,arts_creativity,explanatory,6-8,29,intermediate
edu_qa_0392,social_emotional,factual,4-6,16,beginner
edu_qa_0393,nutrition_cooking,explanatory,6-8,29,intermediate
edu_qa_0394,general_knowledge,factual,4-6,1,beginner
edu_qa_0395,general_knowledge,factual,4-6,20,intermediate
edu_qa_0396,general_knowledge,explanatory,4-6,16,beginner
edu_qa_0397,arts_creativity,explanatory,4-6,21,intermediate
edu_qa_0398,general_knowledge,factual,4-6,4,beginner
edu_qa_0399,nutrition_cooking,instructional,4-6,16,beginner
edu_qa_0400,health_body,instructional,4-6,18,beginner
edu_qa_0401,nature_science,general,3-4,11,beginner
edu_qa_0402,nutrition_cooking,factual,4-6,10,beginner
edu_qa_0403,general_knowledge,recall,4-6,2,beginner
edu_qa_0404,physical_activity,factual,3-4,1,beginner
edu_qa_0405,math_numbers,explanatory,4-6,18,beginner
edu_qa_0406,general_knowledge,instructional,4-6,9,beginner
edu_qa_0407,safety_community,explanatory,4-6,20,intermediate
edu_qa_0408,health_body,factual,3-4,10,beginner
edu_qa_0409,general_knowledge,explanatory,3-4,11,beginner
edu_qa_0410,general_knowledge,factual,4-6,14,beginner
edu_qa_0411,arts_creativity,factual,4-6,12,beginner
edu_qa_0412,physical_activity,explanatory,4-6,13,beginner
edu_qa_0413,safety_community,general,5-7,31,intermediate
edu_qa_0414,general_knowledge,explanatory,4-6,23,intermediate
edu_qa_0415,arts_creativity,factual,4-6,1,beginner
edu_qa_0416,nutrition_cooking,factual,4-6,16,beginner
edu_qa_0417,general_knowledge,instructional,3-4,14,beginner
edu_qa_0418,nutrition_cooking,explanatory,4-6,12,beginner
edu_qa_0419,language_literacy,factual,4-6,11,beginner
edu_qa_0420,language_literacy,instructional,3-4,10,beginner
edu_qa_0421,nutrition_cooking,instructional,4-6,15,beginner
edu_qa_0422,arts_creativity,factual,4-6,12,beginner
edu_qa_0423,social_emotional,factual,4-6,18,beginner
edu_qa_0424,nutrition_cooking,instructional,3-4,11,beginner
edu_qa_0425,general_knowledge,general,4-6,11,beginner
edu_qa_0426,nutrition_cooking,factual,4-6,12,beginner
edu_qa_0427,general_knowledge,explanatory,4-6,7,beginner
edu_qa_0428,health_body,instructional,4-6,15,beginner
edu_qa_0429,arts_creativity,factual,4-6,11,beginner
edu_qa_0430,safety_community,factual,4-6,21,intermediate
edu_qa_0431,general_knowledge,factual,4-6,10,beginner
edu_qa_0432,nutrition_cooking,explanatory,4-6,19,beginner
edu_qa_0433,arts_creativity,factual,4-6,12,beginner
edu_qa_0434,math_numbers,factual,4-6,6,beginner
edu_qa_0435,nutrition_cooking,factual,4-6,3,beginner
edu_qa_0436,nutrition_cooking,instructional,4-6,9,beginner
edu_qa_0437,language_literacy,factual,4-6,11,beginner
edu_qa_0438,general_knowledge,explanatory,4-6,17,beginner
edu_qa_0439,language_literacy,factual,4-6,19,beginner
edu_qa_0440,general_knowledge,factual,4-6,5,beginner
edu_qa_0441,general_knowledge,factual,5-7,25,intermediate
edu_qa_0442,general_knowledge,explanatory,4-6,18,beginner
edu_qa_0443,nutrition_cooking,factual,4-6,3,beginner
edu_qa_0444,safety_community,factual,3-4,10,beginner
edu_qa_0445,health_body,explanatory,4-6,21,intermediate
edu_qa_0446,language_literacy,instructional,4-6,16,beginner
edu_qa_0447,health_body,instructional,3-4,14,beginner
edu_qa_0448,social_emotional,factual,4-6,15,beginner
edu_qa_0449,general_knowledge,factual,6-8,28,intermediate
edu_qa_0450,nutrition_cooking,general,4-6,6,beginner
edu_qa_0451,physical_activity,factual,4-6,12,beginner
edu_qa_0452,math_numbers,factual,4-6,13,beginner
edu_qa_0453,general_knowledge,instructional,4-6,11,beginner
edu_qa_0454,general_knowledge,instructional,4-6,5,beginner
edu_qa_0455,social_emotional,factual,4-6,7,beginner
edu_qa_0456,health_body,factual,4-6,8,beginner
edu_qa_0457,health_body,factual,4-6,20,intermediate
edu_qa_0458,general_knowledge,factual,5-7,37,intermediate
edu_qa_0459,social_emotional,general,4-6,17,beginner
edu_qa_0460,health_body,instructional,4-6,11,beginner
edu_qa_0461,arts_creativity,explanatory,4-6,19,beginner
edu_qa_0462,nutrition_cooking,factual,4-6,23,intermediate
edu_qa_0463,nutrition_cooking,general,4-6,12,beginner
edu_qa_0464,safety_community,factual,4-6,22,intermediate
edu_qa_0465,general_knowledge,factual,4-6,18,beginner
edu_qa_0466,social_emotional,factual,4-6,18,beginner
edu_qa_0467,general_knowledge,instructional,5-7,38,intermediate
edu_qa_0468,general_knowledge,explanatory,4-6,24,intermediate
